순위,종목 코드,매수 확률
1,'108320,0.49870535731315613
2,'307180,0.4964589774608612
3,'009310,0.4962937533855438
4,'096870,0.4962851107120514
5,'001210,0.49570420384407043
6,'265520,0.4945758581161499
7,'153490,0.49382439255714417
8,'036090,0.4936697483062744
9,'187870,0.4936123490333557
10,'256940,0.49310582876205444
11,'137940,0.49272432923316956
12,'027580,0.4925949275493622
13,'020760,0.4920509159564972
14,'059100,0.49188554286956787
15,'083930,0.4918099641799927
16,'137080,0.49180033802986145
17,'371950,0.4917376637458801
18,'034220,0.49166515469551086
19,'056700,0.4916123151779175
20,'049120,0.49151408672332764
21,'079950,0.49143725633621216
22,'143540,0.49125584959983826
23,'272110,0.49097728729248047
24,'040910,0.4909103810787201
25,'239890,0.4909098744392395
26,'088130,0.4908985495567322
27,'082850,0.49082157015800476
28,'090470,0.49068737030029297
29,'290520,0.49063801765441895
30,'255440,0.49057736992836
31,'095500,0.4905222952365875
32,'067770,0.49047961831092834
33,'155650,0.4902075529098511
34,'317330,0.49017226696014404
35,'171090,0.4901629686355591
36,'256630,0.48990705609321594
37,'011690,0.489838570356369
38,'272290,0.48981767892837524
39,'351320,0.4896344244480133
40,'141000,0.48948854207992554
41,'080000,0.48945415019989014
42,'036170,0.48930925130844116
43,'238490,0.489155113697052
44,'038060,0.48906785249710083
45,'250930,0.48883944749832153
46,'041520,0.4887515902519226
47,'121850,0.4886877238750458
48,'068790,0.48868098855018616
49,'290090,0.4886608421802521
50,'094970,0.4886486530303955
51,'123860,0.4884997308254242
52,'092190,0.48835644125938416
53,'149950,0.487859308719635
54,'290690,0.4878387153148651
55,'073110,0.48759716749191284
56,'046890,0.48758554458618164
57,'131760,0.4875369668006897
58,'052420,0.48745831847190857
59,'170920,0.4873298108577728
60,'078150,0.48729386925697327
61,'049950,0.4872564971446991
62,'177350,0.48712483048439026
63,'083500,0.48696035146713257
64,'108230,0.4866640567779541
65,'037400,0.48663559556007385
66,'052330,0.48653191328048706
67,'063760,0.4861454963684082
68,'347770,0.4859176278114319
69,'110990,0.4857725501060486
70,'079810,0.4857538044452667
71,'213420,0.4854982793331146
72,'321260,0.4848538041114807
73,'297890,0.48448681831359863
74,'117730,0.48320406675338745
75,'051360,0.48183950781822205
76,'109740,0.4812142848968506
77,'069330,0.47431981563568115
78,'054040,0.4738767445087433
79,'037330,0.451521098613739
