순위,종목 코드,매수 확률
1,'109740,0.5018748641014099
2,'265520,0.49903738498687744
3,'256630,0.4988867938518524
4,'108230,0.49887481331825256
5,'069330,0.4988144338130951
6,'321260,0.498687744140625
7,'131760,0.49824047088623047
8,'054040,0.49747297167778015
9,'037330,0.49742594361305237
10,'034220,0.49735569953918457
11,'096870,0.4971926212310791
12,'117730,0.49628227949142456
13,'079950,0.49569517374038696
14,'067770,0.4956778585910797
15,'371950,0.49531090259552
16,'059100,0.4949885308742523
17,'040910,0.4948022961616516
18,'080000,0.4946962594985962
19,'009310,0.494595468044281
20,'255440,0.49446409940719604
21,'143540,0.4943859279155731
22,'020760,0.49430137872695923
23,'121850,0.4936158359050751
24,'082850,0.49359387159347534
25,'290090,0.4934295415878296
26,'063760,0.49337461590766907
27,'073110,0.49321165680885315
28,'317330,0.4926410913467407
29,'049120,0.49261900782585144
30,'250930,0.49259817600250244
31,'307180,0.4924747347831726
32,'213420,0.49236467480659485
33,'351320,0.4923636317253113
34,'137080,0.4922316074371338
35,'108320,0.49212411046028137
36,'297890,0.4920286238193512
37,'056700,0.4919731616973877
38,'290520,0.4919526278972626
39,'137940,0.4917542636394501
40,'171090,0.4917265474796295
41,'036170,0.49162745475769043
42,'001210,0.4913555085659027
43,'051360,0.4912334084510803
44,'078150,0.49112802743911743
45,'347770,0.4910362660884857
46,'038060,0.49097901582717896
47,'238490,0.4909774363040924
48,'052420,0.49097418785095215
49,'110990,0.4909444749355316
50,'046890,0.4909141957759857
51,'094970,0.4908880293369293
52,'037400,0.4905213713645935
53,'088130,0.4904685318470001
54,'092190,0.4904654920101166
55,'095500,0.490434467792511
56,'079810,0.49039772152900696
57,'239890,0.49036532640457153
58,'011690,0.49033212661743164
59,'083930,0.49018600583076477
60,'290690,0.4900676906108856
61,'068790,0.48990288376808167
62,'027580,0.4898943603038788
63,'036090,0.48957425355911255
64,'141000,0.4892985224723816
65,'272110,0.48917216062545776
66,'170920,0.48902609944343567
67,'187870,0.48897913098335266
68,'153490,0.4887457489967346
69,'149950,0.488496869802475
70,'256940,0.4884689450263977
71,'123860,0.488201767206192
72,'052330,0.4880966246128082
73,'272290,0.4877561032772064
74,'049950,0.48774412274360657
75,'090470,0.48680171370506287
76,'083500,0.4866938292980194
77,'155650,0.4862450361251831
78,'177350,0.4862194061279297
79,'041520,0.48534736037254333
