순위,종목 코드,매도 확률
1,'037330,0.5052014589309692
2,'054040,0.5040106177330017
3,'069330,0.5040008425712585
4,'109740,0.5036463141441345
5,'051360,0.503619372844696
6,'117730,0.5035411715507507
7,'297890,0.5034723281860352
8,'321260,0.5034641623497009
9,'110990,0.5034211874008179
10,'079810,0.5034111738204956
11,'213420,0.5034101605415344
12,'347770,0.5034009218215942
13,'063760,0.5033787488937378
14,'052330,0.5033655762672424
15,'037400,0.5033637285232544
16,'108230,0.5033624172210693
17,'177350,0.5033477544784546
18,'083500,0.5033444166183472
19,'049950,0.5033372044563293
20,'170920,0.5033268928527832
21,'052420,0.5033221244812012
22,'078150,0.5033183097839355
23,'131760,0.5033149719238281
24,'290690,0.5033048987388611
25,'073110,0.5033014416694641
26,'046890,0.5032984018325806
27,'149950,0.5032958388328552
28,'092190,0.5032778978347778
29,'041520,0.5032743215560913
30,'123860,0.5032726526260376
31,'290090,0.5032657384872437
32,'094970,0.5032610893249512
33,'068790,0.5032605528831482
34,'250930,0.5032544732093811
35,'121850,0.5032525062561035
36,'038060,0.5032336711883545
37,'238490,0.5032322406768799
38,'036170,0.5032297968864441
39,'141000,0.5032206177711487
40,'080000,0.5032126903533936
41,'351320,0.5032008290290833
42,'256630,0.5031998753547668
43,'272290,0.5031992793083191
44,'011690,0.503190815448761
45,'155650,0.5031799077987671
46,'317330,0.5031771659851074
47,'171090,0.5031753778457642
48,'095500,0.5031573176383972
49,'290520,0.503155529499054
50,'090470,0.5031548738479614
51,'255440,0.5031546950340271
52,'067770,0.503150999546051
53,'082850,0.5031495690345764
54,'088130,0.5031437873840332
55,'040910,0.5031368732452393
56,'272110,0.5031368136405945
57,'239890,0.5031365156173706
58,'143540,0.5031230449676514
59,'079950,0.5031098127365112
60,'049120,0.5031081438064575
61,'056700,0.5031040906906128
62,'034220,0.5031008720397949
63,'371950,0.5030951499938965
64,'137080,0.5030949115753174
65,'083930,0.503085196018219
66,'020760,0.503084123134613
67,'059100,0.5030786395072937
68,'027580,0.5030670762062073
69,'137940,0.5030494332313538
70,'256940,0.5030325055122375
71,'036090,0.5029994249343872
72,'187870,0.5029985308647156
73,'153490,0.5029910206794739
74,'265520,0.5029492378234863
75,'001210,0.5028941631317139
76,'009310,0.5028743147850037
77,'096870,0.5028574466705322
78,'307180,0.5028485059738159
79,'108320,0.5027317404747009
