순위,종목 코드,매도 확률
1,'117730,0.5010825395584106
2,'037330,0.5010698437690735
3,'079810,0.5010694861412048
4,'051360,0.5010550618171692
5,'321260,0.501053512096405
5,'110990,0.501053512096405
7,'297890,0.5010495185852051
8,'123860,0.5010389685630798
9,'041520,0.501038670539856
10,'049950,0.5010363459587097
11,'347770,0.5010342597961426
12,'027580,0.5010331869125366
13,'083500,0.5010312795639038
14,'290690,0.5010303854942322
15,'054040,0.5010278224945068
16,'069330,0.501026451587677
17,'078150,0.5010259747505188
18,'109740,0.5010249614715576
19,'213420,0.5010243654251099
20,'038060,0.5010191798210144
21,'073110,0.5010189414024353
22,'108230,0.5010186433792114
23,'177350,0.5010178685188293
24,'083930,0.5010164976119995
25,'272110,0.50101637840271
26,'149950,0.5010160207748413
27,'238490,0.5010151863098145
28,'046890,0.5010151267051697
29,'155650,0.5010148882865906
30,'256630,0.5010145902633667
31,'307180,0.501014232635498
32,'153490,0.5010141730308533
33,'068790,0.5010132789611816
34,'052420,0.5010130405426025
35,'141000,0.50101238489151
36,'272290,0.5010120868682861
37,'052330,0.5010114908218384
38,'063760,0.5010107755661011
39,'020760,0.5010106563568115
39,'131760,0.5010106563568115
41,'250930,0.5010104775428772
42,'170920,0.5010099411010742
43,'036090,0.5010095238685608
44,'094970,0.5010090470314026
45,'256940,0.5010088682174683
46,'001210,0.5010077953338623
47,'290090,0.5010070204734802
48,'036170,0.5010067820549011
49,'096870,0.5010064244270325
50,'092190,0.5010052919387817
51,'351320,0.5010047554969788
52,'090470,0.5010043382644653
53,'079950,0.5010042786598206
54,'121850,0.501004159450531
55,'037400,0.5010040998458862
56,'095500,0.5010032057762146
57,'059100,0.5010021924972534
58,'034220,0.5010021328926086
59,'049120,0.5010015964508057
60,'137940,0.5010014772415161
61,'239890,0.5010014176368713
62,'187870,0.5010012984275818
63,'255440,0.5010011792182922
64,'067770,0.5010009407997131
65,'317330,0.5010005831718445
66,'371950,0.5010005235671997
67,'137080,0.5010003447532654
68,'265520,0.5009998083114624
69,'143540,0.5009996891021729
70,'088130,0.500999391078949
71,'108320,0.5009992718696594
72,'009310,0.5009991526603699
73,'011690,0.5009987950325012
74,'056700,0.5009983777999878
75,'080000,0.5009977221488953
76,'290520,0.5009967088699341
77,'171090,0.5009952187538147
78,'040910,0.5009943842887878
79,'082850,0.5009908676147461
